model,accuracy,precision,recall,f1
Random Forest,0.34519572953736655,0.34438663320661844,0.34519572953736655,0.34374952044666895
Gradient Boosting,0.33807829181494664,0.33899021259065554,0.33807829181494664,0.33511285487266596
Logistic Regression,0.35587188612099646,0.35648019939075054,0.35587188612099646,0.3313487388491698
SVM (RBF),0.33807829181494664,0.34382868822252677,0.33807829181494664,0.32227858480805044
KNN (k=5),0.3274021352313167,0.31389218399894553,0.3274021352313167,0.31303317842673356
